iter	Logloss
0	0.6874578222
1	0.6823514187
2	0.6777955436
3	0.6737800578
4	0.6702416195
5	0.6669506307
6	0.6640563365
7	0.661520757
8	0.6590822583
9	0.6567541275
10	0.6547915164
11	0.653120554
12	0.6513909955
13	0.6498921414
14	0.6486998762
15	0.6474241382
16	0.6462885377
17	0.6451947187
18	0.6439677712
19	0.6430910291
20	0.6422877048
21	0.6414756736
22	0.6407582444
23	0.6400585897
24	0.6394735686
25	0.6388003394
26	0.6383269381
27	0.637596257
28	0.6370182523
29	0.6365451788
30	0.6359137063
31	0.6354074475
32	0.6348059121
33	0.6344134467
34	0.6340275122
35	0.6336179572
36	0.6331371549
37	0.632785453
38	0.6324465674
39	0.6320586335
40	0.6317469061
41	0.6314202231
42	0.631074941
43	0.6306973563
44	0.63037096
45	0.630044977
46	0.6297714448
47	0.629512448
48	0.6292595055
49	0.6289505751
50	0.6286140649
51	0.6283909779
52	0.6281686329
53	0.6279630049
54	0.6276717742
55	0.6274217422
56	0.6271403524
57	0.6269194237
58	0.626656907
59	0.6264908458
60	0.6263304363
61	0.6261685196
62	0.6258747763
63	0.6256929348
64	0.6255091652
65	0.6253385263
66	0.6251236788
67	0.6249731636
68	0.6248492982
69	0.6246674627
70	0.6245505752
71	0.6244172091
72	0.6242971317
73	0.6241514687
74	0.623976522
75	0.6238451703
76	0.6236849368
77	0.6234995531
78	0.6233426069
79	0.6232188768
80	0.6229616308
81	0.6228326217
82	0.6226866954
83	0.6225566756
84	0.622450176
85	0.6222212104
86	0.622093002
87	0.6218749857
88	0.6217793418
89	0.6216652427
90	0.6215357699
91	0.6213965081
92	0.621297241
93	0.6212170547
94	0.6210531365
95	0.6209525227
96	0.6208551727
97	0.6207587052
98	0.6206773304
99	0.6205845406
100	0.6204653747
101	0.6203916949
102	0.620300951
103	0.6202208498
104	0.6201284547
105	0.6200434599
106	0.6199415223
107	0.6198573457
108	0.619744289
109	0.6196523291
110	0.6195422621
111	0.6194527099
112	0.6193820074
113	0.6192376322
114	0.6191148543
115	0.6189351631
116	0.618805946
117	0.6187416509
118	0.6186453548
119	0.6185380033
120	0.618468935
121	0.6184001282
122	0.6183062498
123	0.6182292794
124	0.6181574652
125	0.6180616264
126	0.6179814256
127	0.6178749751
128	0.6178038842
129	0.6177136331
130	0.6176414291
131	0.6175266406
132	0.6174478906
133	0.6173401271
134	0.6172690467
135	0.6171964405
136	0.6171277988
137	0.6170264068
138	0.61695231
139	0.6168723651
140	0.6167895379
141	0.616717392
142	0.6166548347
143	0.6165849689
144	0.6165191174
145	0.6164513268
146	0.6163784556
147	0.6163156835
148	0.6162457861
149	0.616197684
150	0.6160796225
151	0.6159951144
152	0.6159368088
153	0.61585321
154	0.6158013524
155	0.615721403
156	0.6156653518
157	0.6156092201
158	0.6155613018
159	0.6154860042
160	0.6154292405
161	0.6153497243
162	0.6152567522
163	0.6152022874
164	0.6151519122
165	0.6150985812
166	0.615031249
167	0.6149696957
168	0.6149186394
169	0.614836609
170	0.6147787915
171	0.6147196055
172	0.6146562526
173	0.6145751002
174	0.6144932592
175	0.6144116013
176	0.6143596553
177	0.6142674447
178	0.614190656
179	0.6141061782
180	0.6140506447
181	0.6139486768
182	0.6138596932
183	0.6137231888
184	0.6136741588
185	0.6135924028
186	0.6135267387
187	0.6134432833
188	0.6133998117
189	0.6133380801
190	0.6132890919
191	0.6131974766
192	0.6131444707
193	0.6130732944
194	0.6130287977
195	0.612959559
196	0.6128674781
197	0.6128100721
198	0.6127342284
199	0.6126582465
200	0.6125784879
201	0.6125384025
202	0.6124657363
203	0.6124071314
204	0.6123249774
205	0.612256876
206	0.612201929
207	0.6121190263
208	0.6120671918
209	0.6120128695
210	0.6119651285
211	0.6119258626
212	0.611870696
213	0.611825525
214	0.6117615233
215	0.6117201983
216	0.6116727994
217	0.6116284387
218	0.6115855858
219	0.6114994693
220	0.6114229165
221	0.611375542
222	0.6113385571
223	0.6112895096
224	0.6112230933
225	0.6111724656
226	0.6111242578
227	0.6110701406
228	0.6110398824
229	0.6109974441
230	0.6109528292
231	0.610841198
232	0.6107891642
233	0.6107396902
234	0.6106598028
235	0.6106137724
236	0.6105318062
237	0.610496304
238	0.6104432881
239	0.6104026533
240	0.6103526099
241	0.6102835542
242	0.610217368
243	0.6101664405
244	0.6101233753
245	0.6100799556
246	0.6100043409
247	0.6099622751
248	0.6099070112
249	0.6098401138
250	0.6097788875
251	0.6097172684
252	0.6096726088
253	0.6096079762
254	0.6095607982
255	0.6095204008
256	0.6094843442
257	0.6094048967
258	0.6093384294
259	0.6092648028
260	0.6092045283
261	0.6091467891
262	0.6090597006
263	0.6090296956
264	0.6089806519
265	0.608919909
266	0.6088481848
267	0.6087954231
268	0.6087524862
269	0.6087024821
270	0.6086539101
271	0.6086066663
272	0.6085501701
273	0.6085077733
274	0.6084351478
275	0.6083926076
276	0.6083364638
277	0.6083126092
278	0.6082432439
279	0.608209179
280	0.6081776555
281	0.6081308615
282	0.6080725761
283	0.6080353176
284	0.6079781313
285	0.6079429761
286	0.6078891953
287	0.6078459104
288	0.6078204895
289	0.6077933322
290	0.6077493259
291	0.6077046952
292	0.6076687894
293	0.6076127724
294	0.6075513492
