,airport_code,cy17,cy16,perc_change
0,ATL,50251962,50501858,-0.49
1,LAX,41232416,39636042,4.03
2,ORD,38593028,37589899,2.67
3,DFW,31816933,31283579,1.7
4,DEN,29809091,28267394,5.45
5,JFK,29533154,29239151,1.01
6,SFO,26900016,25707101,4.64
7,LAS,23364185,22833267,2.33
8,SEA,22639120,21887110,3.44
9,CLT,22011225,21511880,2.32
10,EWR,21571194,19923009,8.27
11,MCO,21565444,20283541,6.32
12,PHX,21185440,20896265,1.38
13,MIA,20709205,20875813,-0.8
14,IAH,19603729,20062072,-2.28
15,BOS,18759689,17759044,5.63
16,MSP,18409669,18123844,1.58
17,DTW,17036090,16847135,1.12
18,FLL,15816989,14263270,10.89
19,LGA,14606745,14762593,-1.06
20,PHL,14271232,14564419,-2.01
21,BWI,12976516,12340972,5.15
22,SLC,11615893,11143738,4.24
23,DCA,11506310,11470854,0.31
24,SAN,11139877,10340164,7.73
25,IAD,11024243,10596942,4.03
26,MDW,10911970,11044387,-1.2
27,HNL,9743989,9656340,0.91
28,TPA,9548541,9194994,3.84
29,PDX,9435435,9071154,4.02
30,DAL,7593310,7554596,0.51
31,STL,7194706,6793076,5.91
32,BNA,6902751,6338517,8.9
33,AUS,6813141,6095545,11.77
34,HOU,6538820,6285181,4.04
35,OAK,6413814,5934639,8.07
36,SJC,6130812,5321603,15.21
37,MSY,6022300,5569705,8.13
38,RDU,5692641,5401714,5.39
39,MCI,5628573,5391557,4.4
40,SMF,5341595,4969366,7.49
41,SNA,5082669,5217242,-2.58
42,CLE,4446526,4083476,8.89
43,SAT,4382090,4179994,4.83
44,RSW,4364217,4239261,2.95
45,IND,4343712,4216766,3.01
46,PIT,4327431,3986114,8.56
47,SJU,4163587,4343354,-4.14
48,CVG,3791987,3269979,15.96
49,CMH,3677523,3567864,3.07
50,OGG,3442189,3352813,2.67
51,MKE,3414458,3327536,2.61
52,BDL,3164629,2982194,6.12
53,PBI,3110399,3100624,0.32
54,JAX,2701855,2729129,-1.0
55,ANC,2556188,2563524,-0.29
56,ABQ,2412293,2341719,3.01
57,BUR,2402100,2077892,15.6
58,BUF,2348463,2313724,1.5
59,ONT,2247628,2104625,6.79
60,OMA,2243623,2127387,5.46
61,MEM,2102728,2016089,4.3
62,RNO,1952977,1771864,10.22
63,CHS,1945689,1811695,7.4
64,PVD,1940791,1803000,7.64
65,OKC,1894277,1796473,5.44
66,LGB,1830727,1386357,32.05
67,RIC,1822483,1777648,2.52
68,BOI,1777634,1633507,8.82
69,KOA,1764995,1569602,12.45
70,GEG,1698420,1570652,8.13
71,ORF,1694322,1602631,5.72
72,SDF,1684728,1631494,3.26
73,TUS,1669818,1594594,4.72
74,LIH,1535075,1458940,5.22
75,ELP,1450100,1414376,2.53
76,SFB,1418117,1341699,5.7
77,GRR,1412120,1334979,5.78
78,ALB,1393666,1388860,0.35
79,TUL,1374390,1342315,2.39
80,GUM,1341791,1444299,-7.1
81,BHM,1333967,1304467,2.26
82,DSM,1257492,1216357,3.38
83,ROC,1205762,1186002,1.67
84,SAV,1192316,1056265,12.88
85,MYR,1131959,944849,19.8
86,PSP,1055936,995801,6.04
87,GSP,1051085,991276,6.03
88,PIE,1023462,915672,11.77
89,SYR,1013142,988496,2.49
90,LIT,979515,958824,2.16
91,MHT,969224,995403,-2.63
92,TYS,963744,887103,8.64
93,MSN,943361,903155,4.45
94,DAY,935364,1019922,-8.29
95,PWM,925881,886343,4.46
96,GSO,881018,848261,3.86
97,PNS,839238,792916,5.84
98,COS,815819,657694,24.04
99,ICT,789489,781944,0.96
100,HPN,759301,766170,-0.9
101,FAT,755134,761298,-0.81
102,IWA,704232,705731,-0.21
103,XNA,698255,673810,3.63
104,ITO,664790,640757,3.75
105,ISP,648589,597133,8.62
106,PGD,643551,558482,15.23
107,LEX,637290,638316,-0.16
108,STT,619729,729382,-15.03
109,CAK,619321,685553,-9.66
110,BZN,598706,553245,8.22
111,SRQ,590915,589860,0.18
112,MDT,582287,589511,-1.23
113,BTV,578008,593311,-2.58
114,CID,574632,547786,4.9
115,VPS,567633,440002,29.01
116,ACY,552690,589091,-6.18
117,FAI,543839,538881,0.92
118,FSD,540862,510105,6.03
119,EUG,529142,483224,9.5
120,HSV,518998,527801,-1.67
121,MAF,516974,471490,9.65
122,CAE,510186,553658,-7.85
123,GSN,493424,430275,14.68
124,SGF,483259,462126,4.57
125,CHA,482104,422442,14.12
126,AVL,478041,416939,14.65
127,JAN,462649,491464,-5.86
128,LBB,460212,448093,2.7
129,ECP,454707,434302,4.7
130,MFR,440492,401469,9.72
131,ILM,422541,413185,2.26
132,BIL,415076,423213,-1.92
133,FAR,404872,402976,0.47
134,FNT,393549,398508,-1.24
135,EYW,392381,380505,3.12
136,MSO,387959,381582,1.67
137,JNU,382386,420442,-9.05
138,BTR,377661,364200,3.7
139,PSC,376043,374301,0.47
140,BLI,370022,415285,-10.9
141,RDM,364921,306517,19.05
142,TTN,363626,278436,30.6
143,FWA,359658,360369,-0.2
144,SBA,356604,329751,8.14
145,TLH,350167,345404,1.38
146,DAB,346458,342495,1.16
147,JAC,341661,342044,-0.11
148,MFE,336417,355224,-5.29
149,MLI,335940,364393,-7.81
150,AMA,334563,334815,-0.08
151,CHO,334333,295930,12.98
152,ABE,328912,324511,1.36
153,GPT,324604,305157,6.37
154,CRP,320260,325815,-1.7
155,PIA,312363,307189,1.68
156,ROA,309341,305212,1.35
157,SBN,307471,329957,-6.81
158,GCN,301448,319206,-5.56
159,BGR,290854,269013,8.12
160,AGS,288834,270797,6.66
161,MOB,288222,288209,0.0
162,RAP,286556,272537,5.14
163,GRB,283823,292868,-3.09
164,ATW,281550,270633,4.03
165,BIS,275098,273980,0.41
166,HRL,273070,263760,3.53
167,GPI,272271,247816,9.87
168,SHV,267646,270395,-1.02
169,AVP,261572,232855,12.33
170,BQN,252693,257871,-2.01
171,ASE,244795,254392,-3.77
172,FAY,238566,224541,6.25
173,TVC,235133,223924,5.01
174,SWF,228638,140328,62.93
175,GJT,223441,218319,2.35
176,MLB,221923,220360,0.71
177,BVU,220980,211615,4.43
178,GNV,218569,206330,5.93
179,EVV,213201,204352,4.33
180,CRW,202777,213412,-4.98
181,LFT,202635,206667,-1.95
182,PHF,197994,199421,-0.72
183,SBP,197594,162719,21.43
184,MRY,197094,192136,2.58
185,STX,195634,196047,-0.21
186,STS,195288,167151,16.83
187,TRI,193068,204926,-5.79
188,DRO,186914,187789,-0.47
189,LAN,186621,161863,15.3
190,GTF,171043,176730,-3.22
191,BMI,163473,188490,-13.27
192,AEX,156144,129776,20.32
193,OAJ,155342,149987,3.57
194,GRK,154949,157161,-1.41
195,EGE,154572,163840,-5.66
196,LNK,154450,162876,-5.17
197,MGM,152771,173210,-11.8
198,LBE,151207,146127,3.48
199,IDA,147721,146213,1.03
200,BET,146652,155791,-5.87
201,AZO,146308,154242,-5.14
202,RST,143614,112864,27.25
