origin_airport,tot_passengers
ATL,49289608
ORD,35298501
LAX,32226243
DFW,30936698
DEN,29304146
SFO,22654391
CLT,21920553
LAS,21460374
SEA,21457800
PHX,20683074
EWR,19317349
MCO,19237997
JFK,19153929
MSP,18238245
IAH,18149844
DTW,16794750
MIA,16362053
BOS,16031111
FLL,14578007
PHL,13956330
LGA,13753004
BWI,12774732
SLC,11579414
DCA,11368956
SAN,10837173
MDW,10673216
PDX,9253556
TPA,9178023
IAD,8732300
HNL,8436517
DAL,7592196
STL,7165292
BNA,6825854
AUS,6692388
HOU,6538685
OAK,6105666
MSY,5943121
SJC,5799387
RDU,5646739
MCI,5609183
SMF,5232949
SNA,5042995
CLE,4406106
IND,4312931
PIT,4251600
SAT,4208911
RSW,4184826
SJU,3984453
CVG,3758569
CMH,3641608
MKE,3354597
OGG,3253588
BDL,3084356
PBI,3040482
JAX,2692270
ANC,2521999
ABQ,2412284
BUR,2402049
BUF,2347489
OMA,2243596
ONT,2178772
MEM,2092811
CHS,1945429
RNO,1933291
OKC,1894214
PVD,1880349
LGB,1830669
RIC,1821289
BOI,1777632
KOA,1720107
GEG,1698385
ORF,1693221
SDF,1684383
TUS,1667702
LIH,1499533
ELP,1450097
GRR,1412067
ALB,1393306
TUL,1374303
BHM,1333943
SFB,1289698
DSM,1257197
ROC,1196713
SAV,1184787
MYR,1125634
GSP,1050993
PIE,1014605
SYR,1004833
LIT,979510
MHT,969195
TYS,963654
MSN,942542
DAY,934691
PWM,925820
GSO,880286
PSP,866552
GUM,841106
PNS,839228
COS,815819
ICT,789283
HPN,756531
XNA,698251
AZA,692661
FAT,653108
ITO,649836
ISP,648458
PGD,643551
LEX,637107
STT,619729
CAK,618893
BZN,598669
BTV,577243
MDT,574226
CID,573640
VPS,567633
SRQ,562197
FAI,542454
FSD,540763
ACY,536931
EUG,529121
HSV,518996
MAF,516951
CAE,510019
SGF,483094
CHA,482067
AVL,478032
JAN,462588
LBB,460065
ECP,454707
MFR,440388
ILM,422471
BIL,415029
FAR,401588
FNT,393549
EYW,392371
MSO,387895
BTR,377569
PSC,376047
BLI,369994
RDM,364911
TTN,363338
FWA,359630
SBA,356559
TLH,350064
JNU,347164
DAB,346419
JAC,341591
MLI,335890
AMA,334563
CHO,333436
MFE,328790
ABE,327814
GPT,324564
CRP,320250
PIA,311985
ROA,309099
SBN,307170
BGR,290806
AGS,288506
MOB,288222
RAP,286544
GRB,283653
ATW,281522
BIS,275097
