"TERM"," DEFINITION",
"Airline ID","An identification number assigned by US DOT to identify a unique airline (carrier). A unique airline (carrier) is defined as one holding and reporting under the same DOT certificate regardless of its Code, Name, or holding company/corporation. Use this field for analysis across a range of years.",
"Airport Code","A three character alpha-numeric code issued by the U.S. Department of Transportation which is the official designation of the airport.  The airport code is not always unique to a specific airport because airport codes can change or can be reused.",
"Airport ID","An identification number assigned by US DOT to identify a unique airport.  Use this field for airport analysis across a range of years because an airport can change its airport code and airport codes can be reused.",
"Carrier Code","Code assigned by IATA and commonly used to identify a carrier. As the same code may have been assigned to different carriers over time, the code is not always unique.",
"City Market ID","An identification number assigned by US DOT to identify a city market.  Use this field to consolidate airports serving the same city market.",
"Express Freight","Property, other than passenger baggage transported by air, with a premium paid over standard freight charges for more rapid delivery.",
"Unique Carrier","Unique Carrier Code. It is the Carrier Code most recently used by a carrier. A numeric suffix is used to distinguish duplicate codes, for example, PA, PA (1), PA (2). Use this field to perform analysis of data reported by one and only one carrier.",
"Unique Carrier Entity","Unique Carrier Entity. This field distinguishes entities used by two or more carriers with a numeric suffix, for example, 06038 and 06038 (1).",
"Unique Carrier Name","Unique Carrier Name. It is the name most recently used by a carrier. If two or more carriers have the same most recent name, a numeric suffix is used to distinguish them, for example, Air Caribbean, Air Caribbean (1).",
"World Area Code (WAC)","Numeric codes used to identify geopolitical areas such as countries, states (U.S.), provinces (Canada), and territories or possessions of certain countries. The codes are used within the various data banks maintained by the Office of Airline Information (OAI) and are created by OAI.",
